model,condition,n,tp,fp,tn,fn,accuracy,precision,recall,f1,specificity,balanced_accuracy
gpt-4.1-nano,A,899,49,102,647,101,0.7741935483870968,0.32450331125827814,0.32666666666666666,0.3255813953488372,0.8638184245660881,0.5952425456163775
gpt-4.1-nano,B,899,70,68,682,79,0.8364849833147943,0.5072463768115942,0.4697986577181208,0.4878048780487805,0.9093333333333333,0.6895659955257271
gpt-4.1-nano,C,143,15,43,74,11,0.6223776223776224,0.25862068965517243,0.5769230769230769,0.3571428571428572,0.6324786324786325,0.6047008547008547
gpt-4.1-nano,D,145,16,23,95,11,0.7655172413793103,0.41025641025641024,0.5925925925925926,0.4848484848484849,0.8050847457627118,0.6988386691776522
gpt-4.1-mini,A,908,108,287,471,42,0.6376651982378855,0.27341772151898736,0.72,0.39633027522935776,0.6213720316622692,0.6706860158311345
gpt-4.1-mini,B,908,109,101,657,41,0.8436123348017621,0.5190476190476191,0.7266666666666667,0.6055555555555556,0.866754617414248,0.7967106420404573
gpt-4.1-mini,C,147,16,34,85,12,0.6870748299319728,0.32,0.5714285714285714,0.41025641025641024,0.7142857142857143,0.6428571428571428
gpt-4.1-mini,D,147,18,25,94,10,0.7619047619047619,0.4186046511627907,0.6428571428571429,0.5070422535211269,0.7899159663865546,0.7163865546218487
gpt-4.1,A,908,105,228,531,44,0.7004405286343612,0.3153153153153153,0.7046979865771812,0.43568464730290457,0.6996047430830039,0.7021513648300926
gpt-4.1,B,909,96,109,650,54,0.8206820682068207,0.4682926829268293,0.64,0.5408450704225353,0.8563899868247694,0.7481949934123847
gpt-4.1,C,146,21,60,58,7,0.541095890410959,0.25925925925925924,0.75,0.3853211009174311,0.4915254237288136,0.6207627118644068
gpt-4.1,D,147,17,44,75,11,0.6258503401360545,0.2786885245901639,0.6071428571428571,0.3820224719101123,0.6302521008403361,0.6186974789915967
claude-sonnet-4,A,875,87,138,590,60,0.7737142857142857,0.38666666666666666,0.5918367346938775,0.46774193548387094,0.8104395604395604,0.701138147566719
claude-sonnet-4,B,895,100,72,676,47,0.8670391061452514,0.5813953488372093,0.6802721088435374,0.6269592476489028,0.9037433155080213,0.7920077121757794
claude-sonnet-4,C,129,17,24,80,8,0.751937984496124,0.4146341463414634,0.68,0.5151515151515151,0.7692307692307693,0.7246153846153847
claude-sonnet-4,D,138,19,29,83,7,0.7391304347826086,0.3958333333333333,0.7307692307692307,0.5135135135135135,0.7410714285714286,0.7359203296703296
gemini-2.5-flash,A,909,67,91,668,83,0.8085808580858086,0.4240506329113924,0.44666666666666666,0.4350649350649351,0.8801054018445322,0.6633860342555995
gemini-2.5-flash,B,909,81,57,702,69,0.8613861386138614,0.5869565217391305,0.54,0.5625000000000001,0.924901185770751,0.7324505928853755
gemini-2.5-flash,C,147,12,35,84,16,0.6530612244897959,0.2553191489361702,0.42857142857142855,0.32,0.7058823529411765,0.5672268907563025
gemini-2.5-flash,D,146,15,34,84,13,0.678082191780822,0.30612244897959184,0.5357142857142857,0.38961038961038963,0.711864406779661,0.6237893462469734
