model,condition,total,api_errors,parse_errors,n_valid,valid_rate,tp,fp,tn,fn,accuracy,precision,recall,f1,fpr,fnr,success_precision
gpt-4.1-nano,A,909,1,9,899,0.988998899889989,49,102,647,101,0.7741935483870968,0.32450331125827814,0.32666666666666666,0.3255813953488372,0.13618157543391188,0.6733333333333333,0.32450331125827814
gpt-4.1-nano,B,909,0,0,909,1.0,70,70,689,80,0.834983498349835,0.5,0.4666666666666667,0.4827586206896552,0.0922266139657444,0.5333333333333333,0.5
gpt-4.1-nano,C,909,1,11,897,0.9867986798679867,88,233,516,60,0.673355629877369,0.27414330218068533,0.5945945945945946,0.3752665245202559,0.31108144192256343,0.40540540540540543,0.27414330218068533
gpt-4.1-nano,D,147,0,2,145,0.9863945578231292,16,23,95,11,0.7655172413793103,0.41025641025641024,0.5925925925925926,0.4848484848484849,0.19491525423728814,0.4074074074074074,0.41025641025641024
gpt-4.1-mini,A,909,1,0,908,0.9988998899889989,108,287,471,42,0.6376651982378855,0.27341772151898736,0.72,0.39633027522935776,0.3786279683377309,0.28,0.27341772151898736
gpt-4.1-mini,B,909,1,0,908,0.9988998899889989,109,101,657,41,0.8436123348017621,0.5190476190476191,0.7266666666666667,0.6055555555555556,0.13324538258575197,0.2733333333333333,0.5190476190476191
gpt-4.1-mini,C,147,0,0,147,1.0,16,34,85,12,0.6870748299319728,0.32,0.5714285714285714,0.41025641025641024,0.2857142857142857,0.42857142857142855,0.32
gpt-4.1-mini,D,147,0,0,147,1.0,18,25,94,10,0.7619047619047619,0.4186046511627907,0.6428571428571429,0.5070422535211269,0.21008403361344538,0.35714285714285715,0.4186046511627907
gpt-4.1,A,909,0,1,908,0.9988998899889989,105,228,531,44,0.7004405286343612,0.3153153153153153,0.7046979865771812,0.43568464730290457,0.30039525691699603,0.2953020134228188,0.3153153153153153
gpt-4.1,B,909,0,0,909,1.0,96,109,650,54,0.8206820682068207,0.4682926829268293,0.64,0.5408450704225353,0.14361001317523056,0.36,0.4682926829268293
gpt-4.1,C,147,0,1,146,0.9931972789115646,21,60,58,7,0.541095890410959,0.25925925925925924,0.75,0.3853211009174311,0.5084745762711864,0.25,0.25925925925925924
gpt-4.1,D,147,0,0,147,1.0,17,44,75,11,0.6258503401360545,0.2786885245901639,0.6071428571428571,0.3820224719101123,0.3697478991596639,0.39285714285714285,0.2786885245901639
claude-sonnet-4,A,909,0,34,875,0.9625962596259626,87,138,590,60,0.7737142857142857,0.38666666666666666,0.5918367346938775,0.46774193548387094,0.18956043956043955,0.40816326530612246,0.38666666666666666
claude-sonnet-4,B,909,0,14,895,0.9845984598459846,100,72,676,47,0.8670391061452514,0.5813953488372093,0.6802721088435374,0.6269592476489028,0.0962566844919786,0.3197278911564626,0.5813953488372093
claude-sonnet-4,C,147,0,18,129,0.8775510204081632,17,24,80,8,0.751937984496124,0.4146341463414634,0.68,0.5151515151515151,0.23076923076923078,0.32,0.4146341463414634
claude-sonnet-4,D,147,0,9,138,0.9387755102040817,19,29,83,7,0.7391304347826086,0.3958333333333333,0.7307692307692307,0.5135135135135135,0.25892857142857145,0.2692307692307692,0.3958333333333333
gemini-2.5-flash,A,909,0,0,909,1.0,67,91,668,83,0.8085808580858086,0.4240506329113924,0.44666666666666666,0.4350649350649351,0.11989459815546773,0.5533333333333333,0.4240506329113924
gemini-2.5-flash,B,909,0,0,909,1.0,81,57,702,69,0.8613861386138614,0.5869565217391305,0.54,0.5625000000000001,0.07509881422924901,0.46,0.5869565217391305
gemini-2.5-flash,C,147,0,0,147,1.0,12,35,84,16,0.6530612244897959,0.2553191489361702,0.42857142857142855,0.32,0.29411764705882354,0.5714285714285714,0.2553191489361702
gemini-2.5-flash,D,147,0,1,146,0.9931972789115646,15,34,84,13,0.678082191780822,0.30612244897959184,0.5357142857142857,0.38961038961038963,0.288135593220339,0.4642857142857143,0.30612244897959184
