model,condition,threshold,n_high,n_low,coverage,escalation_rate,high_conf_accuracy,high_conf_success_precision
gpt-4.1-nano,B,3,686,223,0.7546754675467546,0.24532453245324531,0.7988338192419825,0.5
gpt-4.1-nano,B,5,686,223,0.7546754675467546,0.24532453245324531,0.7988338192419825,0.5
gpt-4.1-nano,B,7,686,223,0.7546754675467546,0.24532453245324531,0.7988338192419825,0.5
gpt-4.1-mini,B,3,908,0,1.0,0.0,0.8436123348017621,0.5190476190476191
gpt-4.1-mini,B,5,908,0,1.0,0.0,0.8436123348017621,0.5190476190476191
gpt-4.1-mini,B,7,908,0,1.0,0.0,0.8436123348017621,0.5190476190476191
gpt-4.1,B,3,909,0,1.0,0.0,0.8206820682068207,0.4682926829268293
gpt-4.1,B,5,909,0,1.0,0.0,0.8206820682068207,0.4682926829268293
gpt-4.1,B,7,909,0,1.0,0.0,0.8206820682068207,0.4682926829268293
claude-sonnet-4,B,3,895,0,1.0,0.0,0.8670391061452514,0.5813953488372093
claude-sonnet-4,B,5,886,9,0.9899441340782122,0.01005586592178771,0.8668171557562077,0.5847953216374269
claude-sonnet-4,B,7,835,60,0.9329608938547486,0.0670391061452514,0.888622754491018,0.6308724832214765
gemini-2.5-flash,B,3,901,8,0.9911991199119912,0.0088008800880088,0.8601553829078802,0.5869565217391305
gemini-2.5-flash,B,5,901,8,0.9911991199119912,0.0088008800880088,0.8601553829078802,0.5869565217391305
gemini-2.5-flash,B,7,901,8,0.9911991199119912,0.0088008800880088,0.8601553829078802,0.5869565217391305
