model,condition,total,api_errors,parse_errors,n,tp,fp,tn,fn,acc,prec,rec,f1,fpr
gpt-4.1-nano,A,909,1,9,899,49,102,647,101,0.7741935483870968,0.32450331125827814,0.32666666666666666,0.3255813953488372,0.13618157543391188
gpt-4.1-nano,B,909,2,8,899,70,68,682,79,0.8364849833147943,0.5072463768115942,0.4697986577181208,0.4878048780487805,0.09066666666666667
gpt-4.1-nano,C,147,0,0,147,14,34,85,14,0.673469387755102,0.2916666666666667,0.5,0.3684210526315789,0.2857142857142857
gpt-4.1-nano,D,147,0,5,142,11,21,94,16,0.7394366197183099,0.34375,0.4074074074074074,0.37288135593220334,0.1826086956521739
gpt-4.1-mini,A,909,1,0,908,108,287,471,42,0.6376651982378855,0.27341772151898736,0.72,0.39633027522935776,0.3786279683377309
gpt-4.1-mini,B,909,1,0,908,109,101,657,41,0.8436123348017621,0.5190476190476191,0.7266666666666667,0.6055555555555556,0.13324538258575197
gpt-4.1-mini,C,147,0,0,147,10,21,98,18,0.7346938775510204,0.3225806451612903,0.35714285714285715,0.3389830508474576,0.17647058823529413
gpt-4.1-mini,D,147,0,0,147,15,22,97,13,0.7619047619047619,0.40540540540540543,0.5357142857142857,0.46153846153846156,0.18487394957983194
gpt-4.1,A,909,0,1,908,105,228,531,44,0.7004405286343612,0.3153153153153153,0.7046979865771812,0.43568464730290457,0.30039525691699603
gpt-4.1,B,909,0,0,909,96,109,650,54,0.8206820682068207,0.4682926829268293,0.64,0.5408450704225353,0.14361001317523056
gpt-4.1,C,147,0,0,147,18,51,68,10,0.5850340136054422,0.2608695652173913,0.6428571428571429,0.3711340206185567,0.42857142857142855
gpt-4.1,D,147,0,0,147,18,42,77,10,0.6462585034013606,0.3,0.6428571428571429,0.4090909090909091,0.35294117647058826
claude-sonnet-4,A,909,0,34,875,87,138,590,60,0.7737142857142857,0.38666666666666666,0.5918367346938775,0.46774193548387094,0.18956043956043955
claude-sonnet-4,B,909,0,14,895,100,72,676,47,0.8670391061452514,0.5813953488372093,0.6802721088435374,0.6269592476489028,0.0962566844919786
claude-sonnet-4,C,147,0,15,132,19,20,87,6,0.803030303030303,0.48717948717948717,0.76,0.59375,0.18691588785046728
claude-sonnet-4,D,147,0,14,133,16,24,84,9,0.7518796992481203,0.4,0.64,0.4923076923076923,0.2222222222222222
gemini-3.6-flash,A,909,0,0,909,101,152,607,49,0.7788778877887789,0.39920948616600793,0.6733333333333333,0.501240694789082,0.2002635046113307
gemini-3.6-flash,B,909,0,0,909,102,145,614,48,0.7876787678767877,0.41295546558704455,0.68,0.5138539042821159,0.19104084321475626
gemini-3.6-flash,C,147,0,0,147,19,23,96,9,0.782312925170068,0.4523809523809524,0.6785714285714286,0.5428571428571429,0.19327731092436976
gemini-3.6-flash,D,147,0,0,147,19,19,100,9,0.8095238095238095,0.5,0.6785714285714286,0.5757575757575758,0.15966386554621848
