model,condition,n_aligned,accuracy,f1,bal_acc,tp,fp,tn,fn
gpt-4.1-nano,A,146,0.7534246575342466,0.30769230769230765,0.5750605326876513,8,16,102,20
gpt-4.1-nano,B,146,0.8082191780821918,0.5172413793103449,0.7042978208232445,15,15,103,13
gpt-4.1-nano,C,147,0.673469387755102,0.3684210526315789,0.6071428571428572,14,34,85,14
gpt-4.1-nano,D,142,0.7394366197183099,0.37288135593220334,0.6123993558776167,11,21,94,16
gpt-4.1-mini,A,147,0.6122448979591837,0.43564356435643564,0.6785714285714286,22,51,68,6
gpt-4.1-mini,B,147,0.7959183673469388,0.5588235294117648,0.7510504201680672,19,21,98,9
gpt-4.1-mini,C,147,0.7346938775510204,0.3389830508474576,0.5903361344537815,10,21,98,18
gpt-4.1-mini,D,147,0.7619047619047619,0.46153846153846156,0.6754201680672269,15,22,97,13
gpt-4.1,A,146,0.6917808219178082,0.48275862068965514,0.7250233426704016,21,39,80,6
gpt-4.1,B,147,0.782312925170068,0.5151515151515151,0.7153361344537814,17,21,98,11
gpt-4.1,C,147,0.5850340136054422,0.3711340206185567,0.6071428571428572,18,51,68,10
gpt-4.1,D,147,0.6462585034013606,0.4090909090909091,0.6449579831932774,18,42,77,10
claude-sonnet-4,A,141,0.7659574468085106,0.4761904761904762,0.685672514619883,15,21,93,12
claude-sonnet-4,B,144,0.8472222222222222,0.5925925925925927,0.7568448500651891,16,12,106,10
claude-sonnet-4,C,132,0.803030303030303,0.59375,0.7865420560747663,19,20,87,6
claude-sonnet-4,D,133,0.7518796992481203,0.4923076923076923,0.7088888888888889,16,24,84,9
gemini-3.6-flash,A,147,0.7755102040816326,0.56,0.7657563025210083,21,26,93,7
gemini-3.6-flash,B,147,0.7482993197278912,0.4931506849315069,0.707983193277311,18,27,92,10
gemini-3.6-flash,C,147,0.782312925170068,0.5428571428571429,0.7426470588235294,19,23,96,9
gemini-3.6-flash,D,147,0.8095238095238095,0.5757575757575758,0.759453781512605,19,19,100,9
