model,pair,n_common,b,c,chi2,p_raw,bonferroni_alpha,bonferroni_significant,holm_significant
gpt-4.1-nano,A->B,0,0,0,0.0,1.0,0.00167,False,False
gpt-4.1-nano,A->C,0,0,0,0.0,1.0,0.00167,False,False
gpt-4.1-nano,A->D,0,0,0,0.0,1.0,0.00167,False,False
gpt-4.1-nano,B->C,0,0,0,0.0,1.0,0.00167,False,False
gpt-4.1-nano,B->D,0,0,0,0.0,1.0,0.00167,False,False
gpt-4.1-nano,C->D,0,0,0,0.0,1.0,0.00167,False,False
gpt-4.1-mini,A->B,0,0,0,0.0,1.0,0.00167,False,False
gpt-4.1-mini,A->C,0,0,0,0.0,1.0,0.00167,False,False
gpt-4.1-mini,A->D,0,0,0,0.0,1.0,0.00167,False,False
gpt-4.1-mini,B->C,0,0,0,0.0,1.0,0.00167,False,False
gpt-4.1-mini,B->D,0,0,0,0.0,1.0,0.00167,False,False
gpt-4.1-mini,C->D,0,0,0,0.0,1.0,0.00167,False,False
gpt-4.1,A->B,0,0,0,0.0,1.0,0.00167,False,False
gpt-4.1,A->C,0,0,0,0.0,1.0,0.00167,False,False
gpt-4.1,A->D,0,0,0,0.0,1.0,0.00167,False,False
gpt-4.1,B->C,0,0,0,0.0,1.0,0.00167,False,False
gpt-4.1,B->D,0,0,0,0.0,1.0,0.00167,False,False
gpt-4.1,C->D,0,0,0,0.0,1.0,0.00167,False,False
claude-sonnet-4,A->B,0,0,0,0.0,1.0,0.00167,False,False
claude-sonnet-4,A->C,0,0,0,0.0,1.0,0.00167,False,False
claude-sonnet-4,A->D,0,0,0,0.0,1.0,0.00167,False,False
claude-sonnet-4,B->C,0,0,0,0.0,1.0,0.00167,False,False
claude-sonnet-4,B->D,0,0,0,0.0,1.0,0.00167,False,False
claude-sonnet-4,C->D,0,0,0,0.0,1.0,0.00167,False,False
gemini-3.6-flash,A->B,0,0,0,0.0,1.0,0.00167,False,False
gemini-3.6-flash,A->C,0,0,0,0.0,1.0,0.00167,False,False
gemini-3.6-flash,A->D,0,0,0,0.0,1.0,0.00167,False,False
gemini-3.6-flash,B->C,0,0,0,0.0,1.0,0.00167,False,False
gemini-3.6-flash,B->D,0,0,0,0.0,1.0,0.00167,False,False
gemini-3.6-flash,C->D,0,0,0,0.0,1.0,0.00167,False,False
