model,condition,n,ece_3bin,ece_15bin_eqmass,brier,mean_conf,mean_acc
gpt-4.1-nano,A,899,0.2505,0.2403,0.2697,0.8354,0.7742
gpt-4.1-nano,B,899,0.3008,0.2966,0.2877,0.7689,0.8365
gpt-4.1-nano,C,147,0.2796,0.3136,0.327,0.8469,0.6735
gpt-4.1-nano,D,142,0.2789,0.3056,0.3124,0.8268,0.7394
gpt-4.1-mini,A,908,0.3012,0.3012,0.3262,0.9389,0.6377
gpt-4.1-mini,B,908,0.0926,0.0926,0.1394,0.9362,0.8436
gpt-4.1-mini,C,147,0.1735,0.1993,0.231,0.9082,0.7347
gpt-4.1-mini,D,147,0.1463,0.1599,0.2065,0.9082,0.7619
gpt-4.1,A,908,0.2513,0.2617,0.2918,0.9518,0.7004
gpt-4.1,B,909,0.1322,0.1613,0.1752,0.9529,0.8207
gpt-4.1,C,147,0.3993,0.4129,0.4138,0.9844,0.585
gpt-4.1,D,147,0.3259,0.3395,0.3526,0.9721,0.6463
claude-sonnet-4,A,875,0.015,0.0301,0.1625,0.7843,0.7737
claude-sonnet-4,B,895,0.0358,0.0465,0.1063,0.8313,0.867
claude-sonnet-4,C,132,0.0326,0.0992,0.1634,0.8023,0.803
claude-sonnet-4,D,133,0.0684,0.118,0.1712,0.8203,0.7519
gemini-3.6-flash,A,909,0.1837,0.1776,0.2045,0.9564,0.7789
gemini-3.6-flash,B,909,0.1883,0.1837,0.2034,0.9584,0.7877
gemini-3.6-flash,C,147,0.1966,0.183,0.2073,0.9612,0.7823
gemini-3.6-flash,D,147,0.1565,0.1837,0.1824,0.9592,0.8095
