model,condition,confidence,count,pct
gpt-4.1-nano,A,0,0,0.0
gpt-4.1-nano,A,1,7,0.78
gpt-4.1-nano,A,2,121,13.46
gpt-4.1-nano,A,3,0,0.0
gpt-4.1-nano,A,4,0,0.0
gpt-4.1-nano,A,5,0,0.0
gpt-4.1-nano,A,6,0,0.0
gpt-4.1-nano,A,7,0,0.0
gpt-4.1-nano,A,8,13,1.45
gpt-4.1-nano,A,9,423,47.05
gpt-4.1-nano,A,10,335,37.26
gpt-4.1-nano,B,0,0,0.0
gpt-4.1-nano,B,1,8,0.89
gpt-4.1-nano,B,2,213,23.69
gpt-4.1-nano,B,3,0,0.0
gpt-4.1-nano,B,4,0,0.0
gpt-4.1-nano,B,5,0,0.0
gpt-4.1-nano,B,6,0,0.0
gpt-4.1-nano,B,7,0,0.0
gpt-4.1-nano,B,8,13,1.45
gpt-4.1-nano,B,9,276,30.7
gpt-4.1-nano,B,10,389,43.27
gpt-4.1-nano,C,0,0,0.0
gpt-4.1-nano,C,1,0,0.0
gpt-4.1-nano,C,2,11,7.48
gpt-4.1-nano,C,3,0,0.0
gpt-4.1-nano,C,4,0,0.0
gpt-4.1-nano,C,5,0,0.0
gpt-4.1-nano,C,6,0,0.0
gpt-4.1-nano,C,7,0,0.0
gpt-4.1-nano,C,8,23,15.65
gpt-4.1-nano,C,9,91,61.9
gpt-4.1-nano,C,10,22,14.97
gpt-4.1-nano,D,0,0,0.0
gpt-4.1-nano,D,1,0,0.0
gpt-4.1-nano,D,2,17,11.97
gpt-4.1-nano,D,3,0,0.0
gpt-4.1-nano,D,4,0,0.0
gpt-4.1-nano,D,5,0,0.0
gpt-4.1-nano,D,6,0,0.0
gpt-4.1-nano,D,7,0,0.0
gpt-4.1-nano,D,8,19,13.38
gpt-4.1-nano,D,9,72,50.7
gpt-4.1-nano,D,10,34,23.94
gpt-4.1-mini,A,0,0,0.0
gpt-4.1-mini,A,1,0,0.0
gpt-4.1-mini,A,2,0,0.0
gpt-4.1-mini,A,3,0,0.0
gpt-4.1-mini,A,4,0,0.0
gpt-4.1-mini,A,5,0,0.0
gpt-4.1-mini,A,6,0,0.0
gpt-4.1-mini,A,7,0,0.0
gpt-4.1-mini,A,8,0,0.0
gpt-4.1-mini,A,9,555,61.12
gpt-4.1-mini,A,10,353,38.88
gpt-4.1-mini,B,0,0,0.0
gpt-4.1-mini,B,1,0,0.0
gpt-4.1-mini,B,2,0,0.0
gpt-4.1-mini,B,3,0,0.0
gpt-4.1-mini,B,4,0,0.0
gpt-4.1-mini,B,5,0,0.0
gpt-4.1-mini,B,6,0,0.0
gpt-4.1-mini,B,7,0,0.0
gpt-4.1-mini,B,8,0,0.0
gpt-4.1-mini,B,9,579,63.77
gpt-4.1-mini,B,10,329,36.23
gpt-4.1-mini,C,0,0,0.0
gpt-4.1-mini,C,1,0,0.0
gpt-4.1-mini,C,2,0,0.0
gpt-4.1-mini,C,3,0,0.0
gpt-4.1-mini,C,4,0,0.0
gpt-4.1-mini,C,5,0,0.0
gpt-4.1-mini,C,6,0,0.0
gpt-4.1-mini,C,7,0,0.0
gpt-4.1-mini,C,8,0,0.0
gpt-4.1-mini,C,9,135,91.84
gpt-4.1-mini,C,10,12,8.16
gpt-4.1-mini,D,0,0,0.0
gpt-4.1-mini,D,1,0,0.0
gpt-4.1-mini,D,2,0,0.0
gpt-4.1-mini,D,3,0,0.0
gpt-4.1-mini,D,4,0,0.0
gpt-4.1-mini,D,5,0,0.0
gpt-4.1-mini,D,6,0,0.0
gpt-4.1-mini,D,7,0,0.0
gpt-4.1-mini,D,8,0,0.0
gpt-4.1-mini,D,9,135,91.84
gpt-4.1-mini,D,10,12,8.16
gpt-4.1,A,0,0,0.0
gpt-4.1,A,1,0,0.0
gpt-4.1,A,2,0,0.0
gpt-4.1,A,3,0,0.0
gpt-4.1,A,4,0,0.0
gpt-4.1,A,5,0,0.0
gpt-4.1,A,6,0,0.0
gpt-4.1,A,7,2,0.22
gpt-4.1,A,8,32,3.52
gpt-4.1,A,9,368,40.53
gpt-4.1,A,10,506,55.73
gpt-4.1,B,0,0,0.0
gpt-4.1,B,1,0,0.0
gpt-4.1,B,2,0,0.0
gpt-4.1,B,3,0,0.0
gpt-4.1,B,4,0,0.0
gpt-4.1,B,5,0,0.0
gpt-4.1,B,6,0,0.0
gpt-4.1,B,7,0,0.0
gpt-4.1,B,8,11,1.21
gpt-4.1,B,9,406,44.66
gpt-4.1,B,10,492,54.13
gpt-4.1,C,0,0,0.0
gpt-4.1,C,1,0,0.0
gpt-4.1,C,2,0,0.0
gpt-4.1,C,3,0,0.0
gpt-4.1,C,4,0,0.0
gpt-4.1,C,5,0,0.0
gpt-4.1,C,6,0,0.0
gpt-4.1,C,7,0,0.0
gpt-4.1,C,8,0,0.0
gpt-4.1,C,9,23,15.65
gpt-4.1,C,10,124,84.35
gpt-4.1,D,0,0,0.0
gpt-4.1,D,1,0,0.0
gpt-4.1,D,2,0,0.0
gpt-4.1,D,3,0,0.0
gpt-4.1,D,4,0,0.0
gpt-4.1,D,5,0,0.0
gpt-4.1,D,6,0,0.0
gpt-4.1,D,7,0,0.0
gpt-4.1,D,8,1,0.68
gpt-4.1,D,9,39,26.53
gpt-4.1,D,10,107,72.79
claude-sonnet-4,A,0,0,0.0
claude-sonnet-4,A,1,0,0.0
claude-sonnet-4,A,2,0,0.0
claude-sonnet-4,A,3,2,0.23
claude-sonnet-4,A,4,10,1.14
claude-sonnet-4,A,5,9,1.03
claude-sonnet-4,A,6,81,9.26
claude-sonnet-4,A,7,212,24.23
claude-sonnet-4,A,8,250,28.57
claude-sonnet-4,A,9,308,35.2
claude-sonnet-4,A,10,3,0.34
claude-sonnet-4,B,0,0,0.0
claude-sonnet-4,B,1,0,0.0
claude-sonnet-4,B,2,0,0.0
claude-sonnet-4,B,3,0,0.0
claude-sonnet-4,B,4,9,1.01
claude-sonnet-4,B,5,2,0.22
claude-sonnet-4,B,6,49,5.47
claude-sonnet-4,B,7,125,13.97
claude-sonnet-4,B,8,178,19.89
claude-sonnet-4,B,9,519,57.99
claude-sonnet-4,B,10,13,1.45
claude-sonnet-4,C,0,0,0.0
claude-sonnet-4,C,1,0,0.0
claude-sonnet-4,C,2,0,0.0
claude-sonnet-4,C,3,0,0.0
claude-sonnet-4,C,4,1,0.76
claude-sonnet-4,C,5,2,1.52
claude-sonnet-4,C,6,14,10.61
claude-sonnet-4,C,7,23,17.42
claude-sonnet-4,C,8,30,22.73
claude-sonnet-4,C,9,60,45.45
claude-sonnet-4,C,10,2,1.52
claude-sonnet-4,D,0,0,0.0
claude-sonnet-4,D,1,0,0.0
claude-sonnet-4,D,2,0,0.0
claude-sonnet-4,D,3,0,0.0
claude-sonnet-4,D,4,1,0.75
claude-sonnet-4,D,5,0,0.0
claude-sonnet-4,D,6,11,8.27
claude-sonnet-4,D,7,17,12.78
claude-sonnet-4,D,8,37,27.82
claude-sonnet-4,D,9,64,48.12
claude-sonnet-4,D,10,3,2.26
gemini-3.6-flash,A,0,0,0.0
gemini-3.6-flash,A,1,0,0.0
gemini-3.6-flash,A,2,0,0.0
gemini-3.6-flash,A,3,4,0.44
gemini-3.6-flash,A,4,0,0.0
gemini-3.6-flash,A,5,0,0.0
gemini-3.6-flash,A,6,0,0.0
gemini-3.6-flash,A,7,5,0.55
gemini-3.6-flash,A,8,16,1.76
gemini-3.6-flash,A,9,321,35.31
gemini-3.6-flash,A,10,563,61.94
gemini-3.6-flash,B,0,0,0.0
gemini-3.6-flash,B,1,0,0.0
gemini-3.6-flash,B,2,0,0.0
gemini-3.6-flash,B,3,12,1.32
gemini-3.6-flash,B,4,1,0.11
gemini-3.6-flash,B,5,0,0.0
gemini-3.6-flash,B,6,0,0.0
gemini-3.6-flash,B,7,28,3.08
gemini-3.6-flash,B,8,6,0.66
gemini-3.6-flash,B,9,192,21.12
gemini-3.6-flash,B,10,670,73.71
gemini-3.6-flash,C,0,0,0.0
gemini-3.6-flash,C,1,0,0.0
gemini-3.6-flash,C,2,0,0.0
gemini-3.6-flash,C,3,1,0.68
gemini-3.6-flash,C,4,1,0.68
gemini-3.6-flash,C,5,0,0.0
gemini-3.6-flash,C,6,0,0.0
gemini-3.6-flash,C,7,6,4.08
gemini-3.6-flash,C,8,1,0.68
gemini-3.6-flash,C,9,24,16.33
gemini-3.6-flash,C,10,114,77.55
gemini-3.6-flash,D,0,0,0.0
gemini-3.6-flash,D,1,0,0.0
gemini-3.6-flash,D,2,0,0.0
gemini-3.6-flash,D,3,0,0.0
gemini-3.6-flash,D,4,0,0.0
gemini-3.6-flash,D,5,1,0.68
gemini-3.6-flash,D,6,0,0.0
gemini-3.6-flash,D,7,10,6.8
gemini-3.6-flash,D,8,1,0.68
gemini-3.6-flash,D,9,23,15.65
gemini-3.6-flash,D,10,112,76.19
