model,condition,calls,total_input_tokens,total_output_tokens,total_cost_usd,cost_per_call_usd,mean_latency_s,median_latency_s,p95_latency_s
gpt-4.1-nano,A,909,2253112,78131,0.257,0.00028,4.4,2.78,12.24
gpt-4.1-nano,B,909,2326273,78906,0.264,0.00029,3.76,2.54,7.76
gpt-4.1-nano,C,147,1080131,12022,0.113,0.00077,1.42,1.32,2.14
gpt-4.1-nano,D,147,1087341,12432,0.114,0.00077,1.44,1.26,2.46
gpt-4.1-mini,A,909,1541261,78358,0.742,0.00082,2.96,2.86,3.97
gpt-4.1-mini,B,909,1616978,83512,0.78,0.00086,3.24,3.17,4.19
gpt-4.1-mini,C,147,722823,13911,0.311,0.00212,2.03,1.95,2.61
gpt-4.1-mini,D,147,730033,13718,0.314,0.00214,1.94,1.91,2.59
gpt-4.1,A,909,1168372,85934,3.024,0.00333,4.62,4.37,7.18
gpt-4.1,B,909,1244183,89728,3.206,0.00353,6.78,5.23,14.74
gpt-4.1,C,147,257877,14984,0.636,0.00432,3.22,3.29,4.47
gpt-4.1,D,147,265087,14619,0.647,0.0044,3.69,3.73,4.47
claude-sonnet-4,A,909,1586295,282764,9.0,0.0099,8.01,8.1,11.85
claude-sonnet-4,B,909,1670488,273121,9.108,0.01002,7.31,7.49,11.08
claude-sonnet-4,C,147,331845,54457,1.812,0.01233,9.57,9.45,13.12
claude-sonnet-4,D,147,339716,53842,1.827,0.01243,9.57,9.44,13.62
gemini-3.6-flash,A,909,1158665,65021,1.113,0.00122,8.73,5.71,25.53
gemini-3.6-flash,B,909,1218787,65117,1.158,0.00127,8.28,4.99,24.45
gemini-3.6-flash,C,147,349925,10544,0.302,0.00205,8.23,6.1,21.9
gemini-3.6-flash,D,147,357549,10576,0.308,0.00209,7.74,5.05,20.87
