model,condition,failure_type,n,accuracy,tpr,fnr,fpr,tp,fp,tn,fn
gpt-4.1-nano,A,obvious,153,0.7647,N/A,N/A,0.2353,0,36,117,0
gpt-4.1-nano,A,deceptive,284,0.838,N/A,N/A,0.162,0,46,238,0
gpt-4.1-nano,A,partial,312,0.9359,N/A,N/A,0.0641,0,20,292,0
gpt-4.1-nano,A,N/A,150,0.3267,0.3267,0.6733,N/A,49,0,0,101
gpt-4.1-nano,B,obvious,156,0.8333,N/A,N/A,0.1667,0,26,130,0
gpt-4.1-nano,B,deceptive,284,0.9261,N/A,N/A,0.0739,0,21,263,0
gpt-4.1-nano,B,partial,310,0.9323,N/A,N/A,0.0677,0,21,289,0
gpt-4.1-nano,B,N/A,149,0.4698,0.4698,0.5302,N/A,70,0,0,79
gpt-4.1-nano,C,obvious,32,0.625,N/A,N/A,0.375,0,12,20,0
gpt-4.1-nano,C,deceptive,49,0.7551,N/A,N/A,0.2449,0,12,37,0
gpt-4.1-nano,C,partial,38,0.7368,N/A,N/A,0.2632,0,10,28,0
gpt-4.1-nano,C,N/A,28,0.5,0.5,0.5,N/A,14,0,0,14
gpt-4.1-nano,D,obvious,31,0.7097,N/A,N/A,0.2903,0,9,22,0
gpt-4.1-nano,D,deceptive,47,0.8723,N/A,N/A,0.1277,0,6,41,0
gpt-4.1-nano,D,partial,37,0.8378,N/A,N/A,0.1622,0,6,31,0
gpt-4.1-nano,D,N/A,27,0.4074,0.4074,0.5926,N/A,11,0,0,16
gpt-4.1-mini,A,obvious,156,0.4103,N/A,N/A,0.5897,0,92,64,0
gpt-4.1-mini,A,deceptive,287,0.561,N/A,N/A,0.439,0,126,161,0
gpt-4.1-mini,A,partial,315,0.781,N/A,N/A,0.219,0,69,246,0
gpt-4.1-mini,A,N/A,150,0.72,0.72,0.28,N/A,108,0,0,42
gpt-4.1-mini,B,obvious,156,0.75,N/A,N/A,0.25,0,39,117,0
gpt-4.1-mini,B,deceptive,287,0.8397,N/A,N/A,0.1603,0,46,241,0
gpt-4.1-mini,B,partial,315,0.9492,N/A,N/A,0.0508,0,16,299,0
gpt-4.1-mini,B,N/A,150,0.7267,0.7267,0.2733,N/A,109,0,0,41
gpt-4.1-mini,C,obvious,32,0.6562,N/A,N/A,0.3438,0,11,21,0
gpt-4.1-mini,C,deceptive,49,0.8367,N/A,N/A,0.1633,0,8,41,0
gpt-4.1-mini,C,partial,38,0.9474,N/A,N/A,0.0526,0,2,36,0
gpt-4.1-mini,C,N/A,28,0.3571,0.3571,0.6429,N/A,10,0,0,18
gpt-4.1-mini,D,obvious,32,0.6875,N/A,N/A,0.3125,0,10,22,0
gpt-4.1-mini,D,deceptive,49,0.8163,N/A,N/A,0.1837,0,9,40,0
gpt-4.1-mini,D,partial,38,0.9211,N/A,N/A,0.0789,0,3,35,0
gpt-4.1-mini,D,N/A,28,0.5357,0.5357,0.4643,N/A,15,0,0,13
gpt-4.1,A,obvious,156,0.5064,N/A,N/A,0.4936,0,77,79,0
gpt-4.1,A,deceptive,287,0.6551,N/A,N/A,0.3449,0,99,188,0
gpt-4.1,A,partial,316,0.8354,N/A,N/A,0.1646,0,52,264,0
gpt-4.1,A,N/A,149,0.7047,0.7047,0.2953,N/A,105,0,0,44
gpt-4.1,B,obvious,156,0.7564,N/A,N/A,0.2436,0,38,118,0
gpt-4.1,B,deceptive,287,0.8188,N/A,N/A,0.1812,0,52,235,0
gpt-4.1,B,partial,316,0.9399,N/A,N/A,0.0601,0,19,297,0
gpt-4.1,B,N/A,150,0.64,0.64,0.36,N/A,96,0,0,54
gpt-4.1,C,obvious,32,0.4062,N/A,N/A,0.5938,0,19,13,0
gpt-4.1,C,deceptive,49,0.5102,N/A,N/A,0.4898,0,24,25,0
gpt-4.1,C,partial,38,0.7895,N/A,N/A,0.2105,0,8,30,0
gpt-4.1,C,N/A,28,0.6429,0.6429,0.3571,N/A,18,0,0,10
gpt-4.1,D,obvious,32,0.5,N/A,N/A,0.5,0,16,16,0
gpt-4.1,D,deceptive,49,0.5714,N/A,N/A,0.4286,0,21,28,0
gpt-4.1,D,partial,38,0.8684,N/A,N/A,0.1316,0,5,33,0
gpt-4.1,D,N/A,28,0.6429,0.6429,0.3571,N/A,18,0,0,10
claude-sonnet-4,A,obvious,150,0.7733,N/A,N/A,0.2267,0,34,116,0
claude-sonnet-4,A,deceptive,274,0.7409,N/A,N/A,0.2591,0,71,203,0
claude-sonnet-4,A,partial,304,0.8914,N/A,N/A,0.1086,0,33,271,0
claude-sonnet-4,A,N/A,147,0.5918,0.5918,0.4082,N/A,87,0,0,60
claude-sonnet-4,B,obvious,154,0.8182,N/A,N/A,0.1818,0,28,126,0
claude-sonnet-4,B,deceptive,284,0.8662,N/A,N/A,0.1338,0,38,246,0
claude-sonnet-4,B,partial,310,0.9806,N/A,N/A,0.0194,0,6,304,0
claude-sonnet-4,B,N/A,147,0.6803,0.6803,0.3197,N/A,100,0,0,47
claude-sonnet-4,C,obvious,29,0.7241,N/A,N/A,0.2759,0,8,21,0
claude-sonnet-4,C,deceptive,44,0.7955,N/A,N/A,0.2045,0,9,35,0
claude-sonnet-4,C,partial,34,0.9118,N/A,N/A,0.0882,0,3,31,0
claude-sonnet-4,C,N/A,25,0.76,0.76,0.24,N/A,19,0,0,6
claude-sonnet-4,D,obvious,28,0.6071,N/A,N/A,0.3929,0,11,17,0
claude-sonnet-4,D,deceptive,45,0.7556,N/A,N/A,0.2444,0,11,34,0
claude-sonnet-4,D,partial,35,0.9429,N/A,N/A,0.0571,0,2,33,0
claude-sonnet-4,D,N/A,25,0.64,0.64,0.36,N/A,16,0,0,9
gemini-3.6-flash,A,obvious,156,0.7115,N/A,N/A,0.2885,0,45,111,0
gemini-3.6-flash,A,deceptive,287,0.7456,N/A,N/A,0.2544,0,73,214,0
gemini-3.6-flash,A,partial,316,0.8924,N/A,N/A,0.1076,0,34,282,0
gemini-3.6-flash,A,N/A,150,0.6733,0.6733,0.3267,N/A,101,0,0,49
gemini-3.6-flash,B,obvious,156,0.7244,N/A,N/A,0.2756,0,43,113,0
gemini-3.6-flash,B,deceptive,287,0.7596,N/A,N/A,0.2404,0,69,218,0
gemini-3.6-flash,B,partial,316,0.8956,N/A,N/A,0.1044,0,33,283,0
gemini-3.6-flash,B,N/A,150,0.68,0.68,0.32,N/A,102,0,0,48
gemini-3.6-flash,C,obvious,32,0.5625,N/A,N/A,0.4375,0,14,18,0
gemini-3.6-flash,C,deceptive,49,0.8367,N/A,N/A,0.1633,0,8,41,0
