model,model_label,condition,total_instances,valid_instances,parse_errors,error_rate,tp,fp,tn,fn,accuracy,f1,balanced_accuracy,precision,recall,fpr,fnr,specificity,mcc,auc_roc
gpt-4.1-nano,GPT-4.1 Nano,A,909,899,10,0.011,49,102,647,101,0.7742,0.3256,0.5952,0.3245,0.3267,0.1362,0.6733,0.8638,0.19,0.4454
gpt-4.1-nano,GPT-4.1 Nano,B,909,899,10,0.011,70,68,682,79,0.8365,0.4878,0.6896,0.5072,0.4698,0.0907,0.5302,0.9093,0.3911,0.4493
gpt-4.1-nano,GPT-4.1 Nano,C,147,147,0,0.0,14,34,85,14,0.6735,0.3684,0.6071,0.2917,0.5,0.2857,0.5,0.7143,0.1794,0.3077
gpt-4.1-nano,GPT-4.1 Nano,D,147,142,5,0.034,11,21,94,16,0.7394,0.3729,0.6124,0.3438,0.4074,0.1826,0.5926,0.8174,0.2111,0.3318
gpt-4.1-mini,GPT-4.1 Mini,A,909,908,1,0.0011,108,287,471,42,0.6377,0.3963,0.6707,0.2734,0.72,0.3786,0.28,0.6214,0.2557,0.4856
gpt-4.1-mini,GPT-4.1 Mini,B,909,908,1,0.0011,109,101,657,41,0.8436,0.6056,0.7967,0.519,0.7267,0.1332,0.2733,0.8668,0.5226,0.5609
gpt-4.1-mini,GPT-4.1 Mini,C,147,147,0,0.0,10,21,98,18,0.7347,0.339,0.5903,0.3226,0.3571,0.1765,0.6429,0.8235,0.1739,0.3986
gpt-4.1-mini,GPT-4.1 Mini,D,147,147,0,0.0,15,22,97,13,0.7619,0.4615,0.6754,0.4054,0.5357,0.1849,0.4643,0.8151,0.3174,0.4722
gpt-4.1,GPT-4.1,A,909,908,1,0.0011,105,228,531,44,0.7004,0.4357,0.7022,0.3153,0.7047,0.3004,0.2953,0.6996,0.3107,0.3257
gpt-4.1,GPT-4.1,B,909,909,0,0.0,96,109,650,54,0.8207,0.5408,0.7482,0.4683,0.64,0.1436,0.36,0.8564,0.4409,0.3503
gpt-4.1,GPT-4.1,C,147,147,0,0.0,18,51,68,10,0.585,0.3711,0.6071,0.2609,0.6429,0.4286,0.3571,0.5714,0.1686,0.3913
gpt-4.1,GPT-4.1,D,147,147,0,0.0,18,42,77,10,0.6463,0.4091,0.645,0.3,0.6429,0.3529,0.3571,0.6471,0.2316,0.3427
claude-sonnet-4,Claude Sonnet 4,A,909,875,34,0.0374,87,138,590,60,0.7737,0.4677,0.7011,0.3867,0.5918,0.1896,0.4082,0.8104,0.3441,0.678
claude-sonnet-4,Claude Sonnet 4,B,909,895,14,0.0154,100,72,676,47,0.867,0.627,0.792,0.5814,0.6803,0.0963,0.3197,0.9037,0.5492,0.723
claude-sonnet-4,Claude Sonnet 4,C,147,132,15,0.102,19,20,87,6,0.803,0.5938,0.7865,0.4872,0.76,0.1869,0.24,0.8131,0.4922,0.5508
claude-sonnet-4,Claude Sonnet 4,D,147,133,14,0.0952,16,24,84,9,0.7519,0.4923,0.7089,0.4,0.64,0.2222,0.36,0.7778,0.3559,0.6958
gemini-3.6-flash,Gemini 3.6 Flash,A,909,909,0,0.0,101,152,607,49,0.7789,0.5012,0.7365,0.3992,0.6733,0.2003,0.3267,0.7997,0.3918,0.5703
gemini-3.6-flash,Gemini 3.6 Flash,B,909,909,0,0.0,102,145,614,48,0.7877,0.5139,0.7445,0.413,0.68,0.191,0.32,0.809,0.408,0.5602
gemini-3.6-flash,Gemini 3.6 Flash,C,147,147,0,0.0,19,23,96,9,0.7823,0.5429,0.7426,0.4524,0.6786,0.1933,0.3214,0.8067,0.4218,0.5242
gemini-3.6-flash,Gemini 3.6 Flash,D,147,147,0,0.0,19,19,100,9,0.8095,0.5758,0.7595,0.5,0.6786,0.1597,0.3214,0.8403,0.4654,0.5189
