model,condition,total,valid,errors,error_rate,itt_accuracy_lower,itt_accuracy_upper,pp_accuracy,pp_f1,acc_diff_lower,acc_diff_upper
gpt-4.1-nano,A,909,899,10,0.011,0.7657,0.7767,0.7742,0.3256,-0.0085,0.0025
gpt-4.1-nano,B,909,899,10,0.011,0.8273,0.8383,0.8365,0.4878,-0.0092,0.0018
gpt-4.1-nano,C,147,147,0,0.0,0.6735,0.6735,0.6735,0.3684,0.0,0.0
gpt-4.1-nano,D,147,142,5,0.034,0.7143,0.7483,0.7394,0.3729,-0.0252,0.0089
gpt-4.1-mini,A,909,908,1,0.0011,0.637,0.6381,0.6377,0.3963,-0.0007,0.0004
gpt-4.1-mini,B,909,908,1,0.0011,0.8427,0.8438,0.8436,0.6056,-0.0009,0.0002
gpt-4.1-mini,C,147,147,0,0.0,0.7347,0.7347,0.7347,0.339,0.0,0.0
gpt-4.1-mini,D,147,147,0,0.0,0.7619,0.7619,0.7619,0.4615,0.0,0.0
gpt-4.1,A,909,908,1,0.0011,0.6997,0.7008,0.7004,0.4357,-0.0008,0.0003
gpt-4.1,B,909,909,0,0.0,0.8207,0.8207,0.8207,0.5408,0.0,0.0
gpt-4.1,C,147,147,0,0.0,0.585,0.585,0.585,0.3711,0.0,0.0
gpt-4.1,D,147,147,0,0.0,0.6463,0.6463,0.6463,0.4091,0.0,0.0
claude-sonnet-4,A,909,875,34,0.0374,0.7448,0.7822,0.7737,0.4677,-0.0289,0.0085
claude-sonnet-4,B,909,895,14,0.0154,0.8537,0.8691,0.867,0.627,-0.0134,0.002
claude-sonnet-4,C,147,132,15,0.102,0.7211,0.8231,0.803,0.5938,-0.0819,0.0201
claude-sonnet-4,D,147,133,14,0.0952,0.6803,0.7755,0.7519,0.4923,-0.0716,0.0236
gemini-3.6-flash,A,909,909,0,0.0,0.7789,0.7789,0.7789,0.5012,0.0,0.0
gemini-3.6-flash,B,909,909,0,0.0,0.7877,0.7877,0.7877,0.5139,0.0,0.0
gemini-3.6-flash,C,147,147,0,0.0,0.7823,0.7823,0.7823,0.5429,0.0,0.0
gemini-3.6-flash,D,147,147,0,0.0,0.8095,0.8095,0.8095,0.5758,0.0,0.0
