model,pair,n_common,b,c,chi2,p_raw,cm1_tp,cm1_fp,cm1_tn,cm1_fn,cm2_tp,cm2_fp,cm2_tn,cm2_fn
gpt-4.1-nano,A->B,890,52,106,17.778,0.0,49,102,647,101,70,68,682,79
gpt-4.1-nano,A->C,146,23,12,2.857,0.091,49,102,647,101,14,34,85,14
gpt-4.1-nano,A->D,142,17,13,0.3,0.5839,49,102,647,101,11,21,94,16
gpt-4.1-nano,B->C,146,34,14,7.521,0.0061,70,68,682,79,14,34,85,14
gpt-4.1-nano,B->D,141,23,12,2.857,0.091,70,68,682,79,11,21,94,16
gpt-4.1-nano,C->D,142,14,23,1.73,0.1884,14,34,85,14,11,21,94,16
gpt-4.1-mini,A->B,908,37,224,132.552,0.0,108,287,471,42,109,101,657,41
gpt-4.1-mini,A->C,147,16,34,5.78,0.0162,108,287,471,42,10,21,98,18
gpt-4.1-mini,A->D,147,11,33,10.023,0.0015,108,287,471,42,15,22,97,13
gpt-4.1-mini,B->C,147,17,8,2.56,0.1096,109,101,657,41,10,21,98,18
gpt-4.1-mini,B->D,147,16,11,0.593,0.4414,109,101,657,41,15,22,97,13
gpt-4.1-mini,C->D,147,5,9,0.643,0.4227,10,21,98,18,15,22,97,13
gpt-4.1,A->B,908,44,154,60.005,0.0,105,228,531,44,96,109,650,54
gpt-4.1,A->C,146,27,12,5.026,0.025,105,228,531,44,18,51,68,10
gpt-4.1,A->D,146,27,21,0.521,0.4705,105,228,531,44,18,42,77,10
gpt-4.1,B->C,147,39,10,16.0,0.0001,96,109,650,54,18,51,68,10
gpt-4.1,B->D,147,32,12,8.205,0.0042,96,109,650,54,18,42,77,10
gpt-4.1,C->D,147,9,18,2.37,0.1237,18,51,68,10,18,42,77,10
claude-sonnet-4,A->B,870,37,118,41.29,0.0,87,138,590,60,100,72,676,47
claude-sonnet-4,A->C,127,10,12,0.045,0.8312,87,138,590,60,19,20,87,6
claude-sonnet-4,A->D,129,16,11,0.593,0.4414,87,138,590,60,16,24,84,9
claude-sonnet-4,B->C,129,14,9,0.696,0.4042,100,72,676,47,19,20,87,6
claude-sonnet-4,B->D,130,19,7,4.654,0.031,100,72,676,47,16,24,84,9
claude-sonnet-4,C->D,124,12,6,1.389,0.2386,19,20,87,6,16,24,84,9
gemini-3.6-flash,A->B,909,39,47,0.57,0.4504,101,152,607,49,102,145,614,48
gemini-3.6-flash,A->C,147,11,12,0.0,1.0,101,152,607,49,19,23,96,9
gemini-3.6-flash,A->D,147,8,13,0.762,0.3827,101,152,607,49,19,19,100,9
gemini-3.6-flash,B->C,147,6,11,0.941,0.332,102,145,614,48,19,23,96,9
gemini-3.6-flash,B->D,147,2,11,4.923,0.0265,102,145,614,48,19,19,100,9
gemini-3.6-flash,C->D,147,2,6,1.125,0.2888,19,23,96,9,19,19,100,9
