model,condition,calls,total_input_tokens,total_output_tokens,total_cost_usd,cost_per_call_usd,mean_latency_s,median_latency_s,p95_latency_s
gpt-4.1-nano,A,909,2253112,78131,0.257,0.00028,4.4,2.78,12.24
gpt-4.1-nano,B,909,2326273,78906,0.264,0.00029,3.76,2.54,7.76
gpt-4.1-nano,C,909,2454883,79409,0.277,0.00031,3.61,2.34,11.34
gpt-4.1-nano,D,147,513577,13092,0.057,0.00038,4.29,2.87,9.58
gpt-4.1-mini,A,909,1541261,78358,0.742,0.00082,2.96,2.86,3.97
gpt-4.1-mini,B,909,1616978,83512,0.78,0.00086,3.24,3.17,4.19
gpt-4.1-mini,C,147,344431,14852,0.162,0.0011,3.21,3.17,4.03
gpt-4.1-mini,D,147,355413,14335,0.165,0.00112,3.45,3.36,4.48
gpt-4.1,A,909,1168372,85934,3.024,0.00333,4.62,4.37,7.18
gpt-4.1,B,909,1244183,89728,3.206,0.00353,6.78,5.23,14.74
gpt-4.1,C,147,263169,15081,0.647,0.0044,17.15,14.5,31.05
gpt-4.1,D,147,274151,15016,0.668,0.00455,11.07,10.28,20.48
claude-sonnet-4,A,909,1586295,282764,9.0,0.0099,8.01,8.1,11.85
claude-sonnet-4,B,909,1670488,273121,9.108,0.01002,7.31,7.49,11.08
claude-sonnet-4,C,147,337725,59666,1.908,0.01298,9.67,10.02,12.61
claude-sonnet-4,D,147,350293,53332,1.851,0.01259,8.61,9.11,12.22
gemini-2.5-flash,A,909,1808902,82030,0.321,0.00035,2.63,2.31,3.56
gemini-2.5-flash,B,909,1889757,88983,0.337,0.00037,2.74,2.41,3.7
gemini-2.5-flash,C,147,114693,14106,0.026,0.00017,2.04,1.79,2.59
gemini-2.5-flash,D,147,126477,47614,0.048,0.00032,2.68,1.69,2.6
