model,condition,threshold,n,auto_n,auto_correct,coverage,auto_accuracy,escalation
gpt-4.1-nano,A,1,899,899,696,1.0,0.7742,0.0
gpt-4.1-nano,A,2,899,892,689,0.9922,0.7724,0.0078
gpt-4.1-nano,A,3,899,771,586,0.8576,0.7601,0.1424
gpt-4.1-nano,A,4,899,771,586,0.8576,0.7601,0.1424
gpt-4.1-nano,A,5,899,771,586,0.8576,0.7601,0.1424
gpt-4.1-nano,A,6,899,771,586,0.8576,0.7601,0.1424
gpt-4.1-nano,A,7,899,771,586,0.8576,0.7601,0.1424
gpt-4.1-nano,A,8,899,771,586,0.8576,0.7601,0.1424
gpt-4.1-nano,A,9,899,758,575,0.8432,0.7586,0.1568
gpt-4.1-nano,A,10,899,335,246,0.3726,0.7343,0.6274
gpt-4.1-nano,B,1,899,899,752,1.0,0.8365,0.0
gpt-4.1-nano,B,2,899,891,744,0.9911,0.835,0.0089
gpt-4.1-nano,B,3,899,678,543,0.7542,0.8009,0.2458
gpt-4.1-nano,B,4,899,678,543,0.7542,0.8009,0.2458
gpt-4.1-nano,B,5,899,678,543,0.7542,0.8009,0.2458
gpt-4.1-nano,B,6,899,678,543,0.7542,0.8009,0.2458
gpt-4.1-nano,B,7,899,678,543,0.7542,0.8009,0.2458
gpt-4.1-nano,B,8,899,678,543,0.7542,0.8009,0.2458
gpt-4.1-nano,B,9,899,665,535,0.7397,0.8045,0.2603
gpt-4.1-nano,B,10,899,389,325,0.4327,0.8355,0.5673
gpt-4.1-nano,C,1,897,897,604,1.0,0.6734,0.0
gpt-4.1-nano,C,2,897,897,604,1.0,0.6734,0.0
gpt-4.1-nano,C,3,897,834,544,0.9298,0.6523,0.0702
gpt-4.1-nano,C,4,897,834,544,0.9298,0.6523,0.0702
gpt-4.1-nano,C,5,897,834,544,0.9298,0.6523,0.0702
gpt-4.1-nano,C,6,897,834,544,0.9298,0.6523,0.0702
gpt-4.1-nano,C,7,897,834,544,0.9298,0.6523,0.0702
gpt-4.1-nano,C,8,897,834,544,0.9298,0.6523,0.0702
gpt-4.1-nano,C,9,897,712,437,0.7938,0.6138,0.2062
gpt-4.1-nano,C,10,897,141,112,0.1572,0.7943,0.8428
gpt-4.1-nano,D,1,145,145,111,1.0,0.7655,0.0
gpt-4.1-nano,D,2,145,145,111,1.0,0.7655,0.0
gpt-4.1-nano,D,3,145,145,111,1.0,0.7655,0.0
gpt-4.1-nano,D,4,145,145,111,1.0,0.7655,0.0
gpt-4.1-nano,D,5,145,145,111,1.0,0.7655,0.0
gpt-4.1-nano,D,6,145,145,111,1.0,0.7655,0.0
gpt-4.1-nano,D,7,145,145,111,1.0,0.7655,0.0
gpt-4.1-nano,D,8,145,145,111,1.0,0.7655,0.0
gpt-4.1-nano,D,9,145,124,94,0.8552,0.7581,0.1448
gpt-4.1-nano,D,10,145,28,24,0.1931,0.8571,0.8069
gpt-4.1-mini,A,1,908,908,579,1.0,0.6377,0.0
gpt-4.1-mini,A,2,908,908,579,1.0,0.6377,0.0
gpt-4.1-mini,A,3,908,908,579,1.0,0.6377,0.0
gpt-4.1-mini,A,4,908,908,579,1.0,0.6377,0.0
gpt-4.1-mini,A,5,908,908,579,1.0,0.6377,0.0
gpt-4.1-mini,A,6,908,908,579,1.0,0.6377,0.0
gpt-4.1-mini,A,7,908,908,579,1.0,0.6377,0.0
gpt-4.1-mini,A,8,908,908,579,1.0,0.6377,0.0
gpt-4.1-mini,A,9,908,908,579,1.0,0.6377,0.0
gpt-4.1-mini,A,10,908,353,216,0.3888,0.6119,0.6112
gpt-4.1-mini,B,1,908,908,766,1.0,0.8436,0.0
gpt-4.1-mini,B,2,908,908,766,1.0,0.8436,0.0
gpt-4.1-mini,B,3,908,908,766,1.0,0.8436,0.0
gpt-4.1-mini,B,4,908,908,766,1.0,0.8436,0.0
gpt-4.1-mini,B,5,908,908,766,1.0,0.8436,0.0
gpt-4.1-mini,B,6,908,908,766,1.0,0.8436,0.0
gpt-4.1-mini,B,7,908,908,766,1.0,0.8436,0.0
gpt-4.1-mini,B,8,908,908,766,1.0,0.8436,0.0
gpt-4.1-mini,B,9,908,908,766,1.0,0.8436,0.0
gpt-4.1-mini,B,10,908,329,293,0.3623,0.8906,0.6377
gpt-4.1-mini,C,1,147,147,101,1.0,0.6871,0.0
gpt-4.1-mini,C,2,147,147,101,1.0,0.6871,0.0
gpt-4.1-mini,C,3,147,147,101,1.0,0.6871,0.0
gpt-4.1-mini,C,4,147,147,101,1.0,0.6871,0.0
gpt-4.1-mini,C,5,147,147,101,1.0,0.6871,0.0
gpt-4.1-mini,C,6,147,147,101,1.0,0.6871,0.0
gpt-4.1-mini,C,7,147,147,101,1.0,0.6871,0.0
gpt-4.1-mini,C,8,147,147,101,1.0,0.6871,0.0
gpt-4.1-mini,C,9,147,147,101,1.0,0.6871,0.0
gpt-4.1-mini,C,10,147,9,3,0.0612,0.3333,0.9388
gpt-4.1-mini,D,1,147,147,112,1.0,0.7619,0.0
gpt-4.1-mini,D,2,147,147,112,1.0,0.7619,0.0
gpt-4.1-mini,D,3,147,147,112,1.0,0.7619,0.0
gpt-4.1-mini,D,4,147,147,112,1.0,0.7619,0.0
gpt-4.1-mini,D,5,147,147,112,1.0,0.7619,0.0
gpt-4.1-mini,D,6,147,147,112,1.0,0.7619,0.0
gpt-4.1-mini,D,7,147,147,112,1.0,0.7619,0.0
gpt-4.1-mini,D,8,147,147,112,1.0,0.7619,0.0
gpt-4.1-mini,D,9,147,147,112,1.0,0.7619,0.0
gpt-4.1-mini,D,10,147,9,6,0.0612,0.6667,0.9388
gpt-4.1,A,1,908,908,636,1.0,0.7004,0.0
gpt-4.1,A,2,908,908,636,1.0,0.7004,0.0
gpt-4.1,A,3,908,908,636,1.0,0.7004,0.0
gpt-4.1,A,4,908,908,636,1.0,0.7004,0.0
gpt-4.1,A,5,908,908,636,1.0,0.7004,0.0
gpt-4.1,A,6,908,908,636,1.0,0.7004,0.0
gpt-4.1,A,7,908,908,636,1.0,0.7004,0.0
gpt-4.1,A,8,908,906,634,0.9978,0.6998,0.0022
gpt-4.1,A,9,908,874,607,0.9626,0.6945,0.0374
gpt-4.1,A,10,908,506,290,0.5573,0.5731,0.4427
gpt-4.1,B,1,909,909,746,1.0,0.8207,0.0
gpt-4.1,B,2,909,909,746,1.0,0.8207,0.0
gpt-4.1,B,3,909,909,746,1.0,0.8207,0.0
gpt-4.1,B,4,909,909,746,1.0,0.8207,0.0
gpt-4.1,B,5,909,909,746,1.0,0.8207,0.0
gpt-4.1,B,6,909,909,746,1.0,0.8207,0.0
gpt-4.1,B,7,909,909,746,1.0,0.8207,0.0
gpt-4.1,B,8,909,909,746,1.0,0.8207,0.0
gpt-4.1,B,9,909,898,737,0.9879,0.8207,0.0121
gpt-4.1,B,10,909,492,368,0.5413,0.748,0.4587
gpt-4.1,C,1,146,146,79,1.0,0.5411,0.0
gpt-4.1,C,2,146,146,79,1.0,0.5411,0.0
gpt-4.1,C,3,146,146,79,1.0,0.5411,0.0
gpt-4.1,C,4,146,146,79,1.0,0.5411,0.0
gpt-4.1,C,5,146,146,79,1.0,0.5411,0.0
gpt-4.1,C,6,146,146,79,1.0,0.5411,0.0
gpt-4.1,C,7,146,146,79,1.0,0.5411,0.0
gpt-4.1,C,8,146,146,79,1.0,0.5411,0.0
gpt-4.1,C,9,146,140,74,0.9589,0.5286,0.0411
gpt-4.1,C,10,146,98,38,0.6712,0.3878,0.3288
gpt-4.1,D,1,147,147,92,1.0,0.6259,0.0
gpt-4.1,D,2,147,147,92,1.0,0.6259,0.0
gpt-4.1,D,3,147,147,92,1.0,0.6259,0.0
gpt-4.1,D,4,147,147,92,1.0,0.6259,0.0
gpt-4.1,D,5,147,147,92,1.0,0.6259,0.0
gpt-4.1,D,6,147,147,92,1.0,0.6259,0.0
gpt-4.1,D,7,147,147,92,1.0,0.6259,0.0
gpt-4.1,D,8,147,147,92,1.0,0.6259,0.0
gpt-4.1,D,9,147,146,91,0.9932,0.6233,0.0068
gpt-4.1,D,10,147,89,45,0.6054,0.5056,0.3946
claude-sonnet-4,A,1,875,875,677,1.0,0.7737,0.0
claude-sonnet-4,A,2,875,875,677,1.0,0.7737,0.0
claude-sonnet-4,A,3,875,875,677,1.0,0.7737,0.0
claude-sonnet-4,A,4,875,873,677,0.9977,0.7755,0.0023
claude-sonnet-4,A,5,875,863,668,0.9863,0.774,0.0137
claude-sonnet-4,A,6,875,854,666,0.976,0.7799,0.024
claude-sonnet-4,A,7,875,773,618,0.8834,0.7995,0.1166
claude-sonnet-4,A,8,875,561,476,0.6411,0.8485,0.3589
claude-sonnet-4,A,9,875,311,283,0.3554,0.91,0.6446
claude-sonnet-4,A,10,875,3,3,0.0034,1.0,0.9966
claude-sonnet-4,B,1,895,895,776,1.0,0.867,0.0
claude-sonnet-4,B,2,895,895,776,1.0,0.867,0.0
claude-sonnet-4,B,3,895,895,776,1.0,0.867,0.0
claude-sonnet-4,B,4,895,895,776,1.0,0.867,0.0
claude-sonnet-4,B,5,895,886,768,0.9899,0.8668,0.0101
claude-sonnet-4,B,6,895,884,766,0.9877,0.8665,0.0123
claude-sonnet-4,B,7,895,835,742,0.933,0.8886,0.067
claude-sonnet-4,B,8,895,710,649,0.7933,0.9141,0.2067
claude-sonnet-4,B,9,895,532,503,0.5944,0.9455,0.4056
claude-sonnet-4,B,10,895,13,13,0.0145,1.0,0.9855
claude-sonnet-4,C,1,129,129,97,1.0,0.7519,0.0
claude-sonnet-4,C,2,129,129,97,1.0,0.7519,0.0
claude-sonnet-4,C,3,129,129,97,1.0,0.7519,0.0
claude-sonnet-4,C,4,129,129,97,1.0,0.7519,0.0
claude-sonnet-4,C,5,129,128,97,0.9922,0.7578,0.0078
claude-sonnet-4,C,6,129,128,97,0.9922,0.7578,0.0078
claude-sonnet-4,C,7,129,116,91,0.8992,0.7845,0.1008
claude-sonnet-4,C,8,129,85,67,0.6589,0.7882,0.3411
claude-sonnet-4,C,9,129,45,41,0.3488,0.9111,0.6512
claude-sonnet-4,C,10,129,0,0,0.0,0.0,1.0
claude-sonnet-4,D,1,138,138,102,1.0,0.7391,0.0
